pai_date,pai_datetime_beginning_utc,pai_datetime_beginning_ept,pai_datetime_ending_utc,pai_datetime_ending_ept,pai_area,final_bal_ratio
12/23/2022 12:00:00 AM,12/24/2022 1:25:00 AM,12/23/2022 8:25:00 PM,12/24/2022 1:30:00 AM,12/23/2022 8:30:00 PM,RTO,85.83
12/23/2022 12:00:00 AM,12/24/2022 1:30:00 AM,12/23/2022 8:30:00 PM,12/24/2022 1:35:00 AM,12/23/2022 8:35:00 PM,RTO,85.76
12/23/2022 12:00:00 AM,12/24/2022 1:35:00 AM,12/23/2022 8:35:00 PM,12/24/2022 1:40:00 AM,12/23/2022 8:40:00 PM,RTO,85.81
12/23/2022 12:00:00 AM,12/24/2022 1:40:00 AM,12/23/2022 8:40:00 PM,12/24/2022 1:45:00 AM,12/23/2022 8:45:00 PM,RTO,85.54
12/23/2022 12:00:00 AM,12/24/2022 1:45:00 AM,12/23/2022 8:45:00 PM,12/24/2022 1:50:00 AM,12/23/2022 8:50:00 PM,RTO,85.52
12/23/2022 12:00:00 AM,12/24/2022 1:50:00 AM,12/23/2022 8:50:00 PM,12/24/2022 1:55:00 AM,12/23/2022 8:55:00 PM,RTO,85.68
12/23/2022 12:00:00 AM,12/24/2022 1:55:00 AM,12/23/2022 8:55:00 PM,12/24/2022 2:00:00 AM,12/23/2022 9:00:00 PM,RTO,85.55
12/23/2022 12:00:00 AM,12/24/2022 2:00:00 AM,12/23/2022 9:00:00 PM,12/24/2022 2:05:00 AM,12/23/2022 9:05:00 PM,RTO,87.12
12/23/2022 12:00:00 AM,12/24/2022 2:05:00 AM,12/23/2022 9:05:00 PM,12/24/2022 2:10:00 AM,12/23/2022 9:10:00 PM,RTO,88.39
12/23/2022 12:00:00 AM,12/24/2022 2:10:00 AM,12/23/2022 9:10:00 PM,12/24/2022 2:15:00 AM,12/23/2022 9:15:00 PM,RTO,88.51
12/23/2022 12:00:00 AM,12/24/2022 2:15:00 AM,12/23/2022 9:15:00 PM,12/24/2022 2:20:00 AM,12/23/2022 9:20:00 PM,RTO,88.38
12/23/2022 12:00:00 AM,12/24/2022 2:20:00 AM,12/23/2022 9:20:00 PM,12/24/2022 2:25:00 AM,12/23/2022 9:25:00 PM,RTO,88.11
12/23/2022 12:00:00 AM,12/24/2022 2:25:00 AM,12/23/2022 9:25:00 PM,12/24/2022 2:30:00 AM,12/23/2022 9:30:00 PM,RTO,87.89
12/23/2022 12:00:00 AM,12/24/2022 2:30:00 AM,12/23/2022 9:30:00 PM,12/24/2022 2:35:00 AM,12/23/2022 9:35:00 PM,RTO,87.80
12/23/2022 12:00:00 AM,12/24/2022 2:35:00 AM,12/23/2022 9:35:00 PM,12/24/2022 2:40:00 AM,12/23/2022 9:40:00 PM,RTO,87.93
12/23/2022 12:00:00 AM,12/24/2022 2:40:00 AM,12/23/2022 9:40:00 PM,12/24/2022 2:45:00 AM,12/23/2022 9:45:00 PM,RTO,87.78
12/23/2022 12:00:00 AM,12/24/2022 2:45:00 AM,12/23/2022 9:45:00 PM,12/24/2022 2:50:00 AM,12/23/2022 9:50:00 PM,RTO,87.73
12/23/2022 12:00:00 AM,12/24/2022 2:50:00 AM,12/23/2022 9:50:00 PM,12/24/2022 2:55:00 AM,12/23/2022 9:55:00 PM,RTO,87.65
12/23/2022 12:00:00 AM,12/24/2022 2:55:00 AM,12/23/2022 9:55:00 PM,12/24/2022 3:00:00 AM,12/23/2022 10:00:00 PM,RTO,87.69
12/23/2022 12:00:00 AM,12/24/2022 3:00:00 AM,12/23/2022 10:00:00 PM,12/24/2022 3:05:00 AM,12/23/2022 10:05:00 PM,RTO,84.38
12/23/2022 12:00:00 AM,12/24/2022 3:05:00 AM,12/23/2022 10:05:00 PM,12/24/2022 3:10:00 AM,12/23/2022 10:10:00 PM,RTO,84.31
12/23/2022 12:00:00 AM,12/24/2022 3:10:00 AM,12/23/2022 10:10:00 PM,12/24/2022 3:15:00 AM,12/23/2022 10:15:00 PM,RTO,83.99
12/23/2022 12:00:00 AM,12/24/2022 3:15:00 AM,12/23/2022 10:15:00 PM,12/24/2022 3:20:00 AM,12/23/2022 10:20:00 PM,RTO,83.46
12/23/2022 12:00:00 AM,12/24/2022 3:20:00 AM,12/23/2022 10:20:00 PM,12/24/2022 3:25:00 AM,12/23/2022 10:25:00 PM,RTO,83.12
12/23/2022 12:00:00 AM,12/24/2022 3:25:00 AM,12/23/2022 10:25:00 PM,12/24/2022 3:30:00 AM,12/23/2022 10:30:00 PM,RTO,82.85
12/23/2022 12:00:00 AM,12/24/2022 3:30:00 AM,12/23/2022 10:30:00 PM,12/24/2022 3:35:00 AM,12/23/2022 10:35:00 PM,RTO,82.48
12/23/2022 12:00:00 AM,12/24/2022 3:35:00 AM,12/23/2022 10:35:00 PM,12/24/2022 3:40:00 AM,12/23/2022 10:40:00 PM,RTO,82.22
12/23/2022 12:00:00 AM,12/24/2022 3:40:00 AM,12/23/2022 10:40:00 PM,12/24/2022 3:45:00 AM,12/23/2022 10:45:00 PM,RTO,82.24
12/23/2022 12:00:00 AM,12/24/2022 3:45:00 AM,12/23/2022 10:45:00 PM,12/24/2022 3:50:00 AM,12/23/2022 10:50:00 PM,RTO,82.41
12/23/2022 12:00:00 AM,12/24/2022 3:50:00 AM,12/23/2022 10:50:00 PM,12/24/2022 3:55:00 AM,12/23/2022 10:55:00 PM,RTO,82.49
12/23/2022 12:00:00 AM,12/24/2022 3:55:00 AM,12/23/2022 10:55:00 PM,12/24/2022 4:00:00 AM,12/23/2022 11:00:00 PM,RTO,82.28
12/24/2022 12:00:00 AM,12/24/2022 9:25:00 AM,12/24/2022 4:25:00 AM,12/24/2022 9:30:00 AM,12/24/2022 4:30:00 AM,RTO,78.15
12/24/2022 12:00:00 AM,12/24/2022 9:30:00 AM,12/24/2022 4:30:00 AM,12/24/2022 9:35:00 AM,12/24/2022 4:35:00 AM,RTO,77.98
12/24/2022 12:00:00 AM,12/24/2022 9:35:00 AM,12/24/2022 4:35:00 AM,12/24/2022 9:40:00 AM,12/24/2022 4:40:00 AM,RTO,77.67
12/24/2022 12:00:00 AM,12/24/2022 9:40:00 AM,12/24/2022 4:40:00 AM,12/24/2022 9:45:00 AM,12/24/2022 4:45:00 AM,RTO,77.99
12/24/2022 12:00:00 AM,12/24/2022 9:45:00 AM,12/24/2022 4:45:00 AM,12/24/2022 9:50:00 AM,12/24/2022 4:50:00 AM,RTO,77.98
12/24/2022 12:00:00 AM,12/24/2022 9:50:00 AM,12/24/2022 4:50:00 AM,12/24/2022 9:55:00 AM,12/24/2022 4:55:00 AM,RTO,78.32
12/24/2022 12:00:00 AM,12/24/2022 9:55:00 AM,12/24/2022 4:55:00 AM,12/24/2022 10:00:00 AM,12/24/2022 5:00:00 AM,RTO,78.15
12/24/2022 12:00:00 AM,12/24/2022 10:00:00 AM,12/24/2022 5:00:00 AM,12/24/2022 10:05:00 AM,12/24/2022 5:05:00 AM,RTO,78.08
12/24/2022 12:00:00 AM,12/24/2022 10:05:00 AM,12/24/2022 5:05:00 AM,12/24/2022 10:10:00 AM,12/24/2022 5:10:00 AM,RTO,78.25
12/24/2022 12:00:00 AM,12/24/2022 10:10:00 AM,12/24/2022 5:10:00 AM,12/24/2022 10:15:00 AM,12/24/2022 5:15:00 AM,RTO,77.91
12/24/2022 12:00:00 AM,12/24/2022 10:15:00 AM,12/24/2022 5:15:00 AM,12/24/2022 10:20:00 AM,12/24/2022 5:20:00 AM,RTO,77.93
12/24/2022 12:00:00 AM,12/24/2022 10:20:00 AM,12/24/2022 5:20:00 AM,12/24/2022 10:25:00 AM,12/24/2022 5:25:00 AM,RTO,78.16
12/24/2022 12:00:00 AM,12/24/2022 10:25:00 AM,12/24/2022 5:25:00 AM,12/24/2022 10:30:00 AM,12/24/2022 5:30:00 AM,RTO,78.27
12/24/2022 12:00:00 AM,12/24/2022 10:30:00 AM,12/24/2022 5:30:00 AM,12/24/2022 10:35:00 AM,12/24/2022 5:35:00 AM,RTO,78.30
12/24/2022 12:00:00 AM,12/24/2022 10:35:00 AM,12/24/2022 5:35:00 AM,12/24/2022 10:40:00 AM,12/24/2022 5:40:00 AM,RTO,78.42
12/24/2022 12:00:00 AM,12/24/2022 10:40:00 AM,12/24/2022 5:40:00 AM,12/24/2022 10:45:00 AM,12/24/2022 5:45:00 AM,RTO,78.29
12/24/2022 12:00:00 AM,12/24/2022 10:45:00 AM,12/24/2022 5:45:00 AM,12/24/2022 10:50:00 AM,12/24/2022 5:50:00 AM,RTO,78.27
12/24/2022 12:00:00 AM,12/24/2022 10:50:00 AM,12/24/2022 5:50:00 AM,12/24/2022 10:55:00 AM,12/24/2022 5:55:00 AM,RTO,78.33
12/24/2022 12:00:00 AM,12/24/2022 10:55:00 AM,12/24/2022 5:55:00 AM,12/24/2022 11:00:00 AM,12/24/2022 6:00:00 AM,RTO,78.18
12/24/2022 12:00:00 AM,12/24/2022 11:00:00 AM,12/24/2022 6:00:00 AM,12/24/2022 11:05:00 AM,12/24/2022 6:05:00 AM,RTO,79.34
12/24/2022 12:00:00 AM,12/24/2022 11:05:00 AM,12/24/2022 6:05:00 AM,12/24/2022 11:10:00 AM,12/24/2022 6:10:00 AM,RTO,79.40
12/24/2022 12:00:00 AM,12/24/2022 11:10:00 AM,12/24/2022 6:10:00 AM,12/24/2022 11:15:00 AM,12/24/2022 6:15:00 AM,RTO,79.21
12/24/2022 12:00:00 AM,12/24/2022 11:15:00 AM,12/24/2022 6:15:00 AM,12/24/2022 11:20:00 AM,12/24/2022 6:20:00 AM,RTO,79.75
12/24/2022 12:00:00 AM,12/24/2022 11:20:00 AM,12/24/2022 6:20:00 AM,12/24/2022 11:25:00 AM,12/24/2022 6:25:00 AM,RTO,80.52
12/24/2022 12:00:00 AM,12/24/2022 11:25:00 AM,12/24/2022 6:25:00 AM,12/24/2022 11:30:00 AM,12/24/2022 6:30:00 AM,RTO,80.64
