pnode_id,arbitrage_profit,regulation_profit,multi_market_profit,pjm_multi_market_profit,txbx_profit,lmp_missing_5min_steps,reg_missing_5min_steps
48806,1766575.5977180724,6340675.591666906,6595777.595874742,6580899.734114809,76894.83749999997,289,85100
49052,1754737.9218390542,6340675.591666906,6582143.583187769,6567010.242352548,75222.00416666662,289,85100
49955,3263721.166368814,6340675.591666906,7847103.77878406,7811344.49196181,82679.42083333328,289,85100
50828,2899902.157842227,6340675.591666906,6915867.80340729,6870224.353313691,85409.0666666666,289,85100
659723,1827805.324886272,6340675.591666906,6616361.157613175,6599848.978306857,76909.16666666661,289,85100
659724,1826826.6195104176,6340675.591666906,6616318.485531316,6599819.169784556,76858.56249999994,289,85100
1048048,1612576.227352222,6340675.591666906,6489454.518706131,6476366.603562956,81004.47916666663,289,85100
1048076,2379292.6311395178,6340675.591666906,7036871.230216882,7009186.003437203,78307.94166666662,289,85100
32411433,2389932.043087441,6340675.591666906,6650245.197115622,6626999.889010784,96354.27916666662,289,85100
32411997,2097409.2021973687,6340675.591666906,6571085.097966703,6552721.384348107,76848.0958333333,289,85100
32412355,2154351.2963391566,6340675.591666906,6630036.30717051,6606205.484000541,77890.62499999994,289,85100
34886621,2679853.556935152,6340675.591666906,6799630.532994513,6756577.577604521,91214.65416666663,289,85100
38367927,2761065.161212101,6340675.591666906,6867051.088976494,6826184.243478689,85136.55416666661,289,85100
38367929,2761065.161212101,6340675.591666906,6867051.088976494,6826184.2434777655,85136.55416666661,289,85100
40243615,2342025.0409139544,6340675.591666906,6716242.676466506,6689299.857538679,79075.91666666661,289,85100
57967471,1775781.3649485442,6340675.591666906,6596360.051919946,6580817.972685069,74713.63333333329,289,85100
93353977,1902987.4960946778,6340675.591666906,6706591.254916027,6688735.757466049,74995.46666666662,289,85100
98370003,2128494.2366228537,6340675.591666906,6589312.261061371,6568055.056378606,75977.12499999994,289,85100
106856905,1779810.5261075876,6340675.591666906,6596721.243927979,6581192.600017068,75679.47083333327,289,85100
1123180719,2176330.2761512697,6340675.591666906,6595342.240060057,6573865.738017138,81644.56666666661,289,85100
1305131573,2142822.7007833375,6340675.591666906,6592558.034811033,6571901.453574765,78430.59583333327,289,85100
1338424127,2131128.579952887,6340675.591666906,6673909.830024217,6640288.4073251095,85300.4666666666,289,85100
1356152712,2173639.851242122,6340675.591666906,6603582.971493097,6579982.453140191,75576.17916666662,289,85100
1356155763,2096026.8468691548,6340675.591666906,6590271.361868332,6567034.07522689,73386.43749999994,289,85100
1439644392,2080636.049208356,6340675.591666906,6566836.125212466,6548604.262237467,75000.80416666662,289,85100
1666104437,2371587.143631262,6340675.591666906,6753920.088045444,6717075.002829291,78598.27083333327,289,85100
1666104441,2277633.138228226,6340675.591666906,6683354.39831293,6650517.618528514,74169.77916666662,289,85100
2155501828,1590449.2435179316,6340675.591666906,6485903.9024324855,6472957.668595994,80217.37916666662,289,85100
2156108964,2086759.331767829,6340675.591666906,6573534.77560826,6554842.373336545,74597.38749999995,289,85100
2156109026,2143472.440939309,6340675.591666906,6599534.663115828,6578097.350737528,75330.4083333333,289,85100
2156109031,2044376.9455625317,6340675.591666906,6595547.34070439,6570191.182190668,75140.95416666662,289,85100
2156109888,1798894.9094530493,6340675.591666906,6604185.690266539,6588474.054260319,76486.55416666662,289,85100
2156111802,2129479.877496069,6340675.591666906,6606029.128984425,6586356.613124358,76498.87499999994,289,85100
2156111867,2728893.0714188847,6340675.591666906,6827579.564299018,6783996.715285399,87175.43333333328,289,85100
2156113094,3377061.51205492,6340675.591666906,6529023.317139567,6469081.788306396,92004.59583333327,62545,85100
2156113295,1812746.8515219663,6340675.591666906,4802276.03224665,4767115.807502895,80953.79166666661,96241,85100
2156113436,1280002.275993942,6340675.591666906,4586133.385549965,4569188.851661158,73933.57499999995,96241,85100
2156113572,1185021.161921567,6340675.591666906,4283748.543979385,4269781.589347796,75544.34166666663,120445,85100
2156117327,250500.7268224072,6340675.591666906,792944.5406813044,789716.0162770272,36414.608333333315,384241,85100
2156117550,250910.41376289926,6340675.591666906,790249.1072927172,786802.1291961729,34860.30833333332,384241,85100
