time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,surface_pressure,cloud_cover,windspeed_10m,winddirection_10m,shortwave_radiation,direct_radiation,diffuse_radiation,global_tilted_irradiance
2020-11-08 00:00:00,6.9,94,6.0,5.1,0.0,0.0,0.0,1007.9,0,6.0,17,0.0,0.0,0.0,0.0
2020-11-08 01:00:00,6.7,94,5.8,4.7,0.0,0.0,0.0,1008.0,0,6.1,28,0.0,0.0,0.0,0.0
2020-11-08 02:00:00,7.7,91,6.3,6.3,0.0,0.0,0.0,1008.3,7,2.8,50,0.0,0.0,0.0,0.0
2020-11-08 03:00:00,7.3,93,6.3,6.1,0.0,0.0,0.0,1008.3,31,2.4,333,0.0,0.0,0.0,0.0
2020-11-08 04:00:00,7.0,95,6.2,5.4,0.0,0.0,0.0,1008.5,41,4.1,15,0.0,0.0,0.0,0.0
2020-11-08 05:00:00,6.7,94,5.8,5.0,0.0,0.0,0.0,1008.8,34,4.6,39,0.0,0.0,0.0,0.0
2020-11-08 06:00:00,6.4,94,5.5,4.6,0.0,0.0,0.0,1009.2,0,4.7,32,0.0,0.0,0.0,0.0
2020-11-08 07:00:00,6.1,92,4.9,4.3,0.0,0.0,0.0,1010.5,0,3.8,17,1.0,0.0,1.0,1.0
2020-11-08 08:00:00,6.6,90,5.1,4.8,0.0,0.0,0.0,1011.3,0,3.8,49,80.0,53.0,27.0,80.0
2020-11-08 09:00:00,9.6,80,6.3,8.4,0.0,0.0,0.0,1011.9,0,1.9,22,239.0,186.0,53.0,239.0
2020-11-08 10:00:00,12.8,70,7.5,11.8,0.0,0.0,0.0,1011.8,0,2.4,27,383.0,318.0,65.0,383.0
2020-11-08 11:00:00,15.8,62,8.7,15.1,0.0,0.0,0.0,1011.6,0,2.3,39,485.0,414.0,71.0,485.0
2020-11-08 12:00:00,18.2,56,9.3,17.8,0.0,0.0,0.0,1011.0,0,1.3,56,534.0,460.0,74.0,534.0
2020-11-08 13:00:00,19.8,53,9.8,19.6,0.0,0.0,0.0,1010.5,0,0.8,153,524.0,450.0,74.0,524.0
2020-11-08 14:00:00,20.6,50,9.9,20.4,0.0,0.0,0.0,1010.1,0,1.5,194,456.0,386.0,70.0,456.0
2020-11-08 15:00:00,20.6,55,11.1,20.6,0.0,0.0,0.0,1010.0,0,1.9,202,340.0,277.0,63.0,340.0
2020-11-08 16:00:00,19.3,64,12.3,19.6,0.0,0.0,0.0,1009.8,0,2.4,243,188.0,140.0,48.0,188.0
2020-11-08 17:00:00,18.2,66,11.8,18.3,0.0,0.0,0.0,1009.8,0,2.6,254,39.0,24.0,15.0,39.0
2020-11-08 18:00:00,16.7,72,11.7,17.1,0.0,0.0,0.0,1009.8,0,0.8,117,0.0,0.0,0.0,0.0
2020-11-08 19:00:00,11.9,89,10.1,11.0,0.0,0.0,0.0,1009.5,0,6.1,135,0.0,0.0,0.0,0.0
2020-11-08 20:00:00,12.7,86,10.4,12.1,0.0,0.0,0.0,1009.6,0,5.2,146,0.0,0.0,0.0,0.0
2020-11-08 21:00:00,12.5,86,10.1,12.2,0.0,0.0,0.0,1009.9,0,2.6,124,0.0,0.0,0.0,0.0
2020-11-08 22:00:00,9.1,93,8.1,8.1,0.0,0.0,0.0,1009.8,0,3.5,114,0.0,0.0,0.0,0.0
2020-11-08 23:00:00,9.1,93,8.0,8.0,0.0,0.0,0.0,1009.6,0,3.5,114,0.0,0.0,0.0,0.0
2020-11-09 00:00:00,8.0,95,7.3,7.0,0.0,0.0,0.0,1009.5,0,2.1,59,0.0,0.0,0.0,0.0
2020-11-09 01:00:00,6.4,98,6.1,4.7,0.0,0.0,0.0,1009.4,0,5.2,56,0.0,0.0,0.0,0.0
2020-11-09 02:00:00,6.3,97,5.8,4.5,0.0,0.0,0.0,1009.6,0,5.4,48,0.0,0.0,0.0,0.0
2020-11-09 03:00:00,6.1,97,5.6,4.2,0.0,0.0,0.0,1009.4,0,5.6,50,0.0,0.0,0.0,0.0
2020-11-09 04:00:00,6.3,96,5.7,4.6,0.0,0.0,0.0,1009.3,0,4.3,48,0.0,0.0,0.0,0.0
2020-11-09 05:00:00,4.9,98,4.6,2.7,0.0,0.0,0.0,1009.2,0,6.4,38,0.0,0.0,0.0,0.0
2020-11-09 06:00:00,4.5,98,4.3,2.2,0.0,0.0,0.0,1009.2,0,6.8,18,0.0,0.0,0.0,0.0
2020-11-09 07:00:00,4.6,98,4.3,2.5,0.0,0.0,0.0,1009.9,0,5.1,8,1.0,0.0,1.0,1.0
2020-11-09 08:00:00,6.6,94,5.7,5.1,0.0,0.0,0.0,1010.6,0,2.5,360,76.0,50.0,26.0,76.0
2020-11-09 09:00:00,10.2,83,7.5,9.2,0.0,0.0,0.0,1010.8,0,1.9,338,233.0,179.0,54.0,233.0
2020-11-09 10:00:00,13.2,76,9.0,12.7,0.0,0.0,0.0,1010.5,0,1.5,14,375.0,309.0,66.0,375.0
2020-11-09 11:00:00,16.0,69,10.3,16.1,0.0,0.0,0.0,1010.0,0,0.0,270,476.0,404.0,72.0,476.0
2020-11-09 12:00:00,18.1,64,11.2,18.1,0.0,0.0,0.0,1009.1,0,2.5,188,523.0,448.0,75.0,523.0
2020-11-09 13:00:00,19.8,63,12.6,20.0,0.0,0.0,0.0,1008.0,0,4.4,189,513.0,438.0,75.0,513.0
2020-11-09 14:00:00,20.7,63,13.4,21.2,0.0,0.0,0.0,1007.4,0,4.5,194,446.0,375.0,71.0,446.0
2020-11-09 15:00:00,20.9,65,14.0,21.5,0.0,0.0,0.0,1006.8,0,4.7,189,330.0,267.0,63.0,330.0
2020-11-09 16:00:00,18.8,78,14.8,19.4,0.0,0.0,0.0,1006.6,0,6.9,186,180.0,132.0,48.0,180.0
2020-11-09 17:00:00,14.3,85,11.8,13.2,0.0,0.0,0.0,1005.8,0,11.4,167,37.0,21.0,16.0,37.0
