datetime_beginning_utc,pnode_id,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da
2024-12-01T00:00:00,48806,40.81,37.62,-4.01,0.82
2024-12-01T00:00:00,49052,40.81,36.42,-4.59,0.2
2024-12-01T00:00:00,49955,40.81,43.8,-1.11,4.1
2024-12-01T00:00:00,50828,40.81,43.8,1.2,1.79
2024-12-01T00:00:00,659723,40.81,36.97,-4.76,0.92
2024-12-01T00:00:00,659724,40.81,36.94,-4.76,0.89
2024-12-01T00:00:00,1048048,40.81,34.81,-4.78,-1.22
2024-12-01T00:00:00,1048076,40.81,39.7,-3.83,2.72
2024-12-01T00:00:00,32411433,40.81,43.33,0.5,2.02
2024-12-01T00:00:00,32411997,40.81,39.97,0.35,-1.19
2024-12-01T00:00:00,32412355,40.81,39.25,-0.08,-1.48
2024-12-01T00:00:00,34886621,40.81,42.83,1.32,0.7
2024-12-01T00:00:00,38367927,40.81,43.93,1.63,1.49
2024-12-01T00:00:00,38367929,40.81,43.93,1.63,1.49
2024-12-01T00:00:00,40243615,40.81,44.24,2.49,0.94
2024-12-01T00:00:00,57967471,40.81,36.54,-4.61,0.34
2024-12-01T00:00:00,93353977,40.81,39.47,-2.58,1.24
2024-12-01T00:00:00,98370003,40.81,42.57,1.68,0.08
2024-12-01T00:00:00,106856905,40.81,36.9,-4.57,0.66
2024-12-01T00:00:00,1123180719,40.81,40.25,0.36,-0.92
2024-12-01T00:00:00,1305131573,40.81,40.8,0.27,-0.28
2024-12-01T00:00:00,1338424127,40.81,40.0,-0.06,-0.75
2024-12-01T00:00:00,1356152712,40.81,38.12,-1.92,-0.77
2024-12-01T00:00:00,1356155763,40.81,40.92,0.25,-0.14
2024-12-01T00:00:00,1439644392,40.81,39.91,0.35,-1.25
2024-12-01T00:00:00,1666104437,40.81,34.66,-6.28,0.13
2024-12-01T00:00:00,1666104441,40.81,43.42,1.83,0.78
2024-12-01T00:00:00,2155501828,40.81,34.66,-4.89,-1.26
2024-12-01T00:00:00,2156108964,40.81,40.45,0.18,-0.54
2024-12-01T00:00:00,2156109026,40.81,41.17,0.1,0.26
2024-12-01T00:00:00,2156109031,40.81,40.0,-0.09,-0.72
2024-12-01T00:00:00,2156109888,40.81,37.36,-4.38,0.93
2024-12-01T00:00:00,2156111802,40.81,40.72,0.67,-0.76
2024-12-01T00:00:00,2156111867,40.81,42.79,1.42,0.56
2024-12-01T00:00:00,2156113094,40.81,38.99,-3.84,2.02
2024-12-01T00:00:00,2156113295,40.81,42.92,1.14,0.97
2024-12-01T00:00:00,2156113436,40.81,36.91,-3.79,-0.11
2024-12-01T00:00:00,2156113572,40.81,38.36,-3.9,1.45
2024-12-01T01:00:00,48806,41.39,37.39,-4.86,0.86
2024-12-01T01:00:00,49052,41.39,36.26,-5.35,0.22
2024-12-01T01:00:00,49955,41.39,45.15,-0.63,4.39
2024-12-01T01:00:00,50828,41.39,44.17,0.93,1.85
2024-12-01T01:00:00,659723,41.39,36.86,-5.49,0.96
2024-12-01T01:00:00,659724,41.39,36.82,-5.49,0.92
2024-12-01T01:00:00,1048048,41.39,34.42,-5.76,-1.21
2024-12-01T01:00:00,1048076,41.39,39.79,-4.73,3.13
2024-12-01T01:00:00,32411433,41.39,43.82,0.4,2.03
2024-12-01T01:00:00,32411997,41.39,40.35,0.19,-1.23
2024-12-01T01:00:00,32412355,41.39,39.59,-0.26,-1.54
2024-12-01T01:00:00,34886621,41.39,43.79,1.67,0.73
2024-12-01T01:00:00,38367927,41.39,45.03,2.15,1.49
2024-12-01T01:00:00,38367929,41.39,45.03,2.15,1.49
2024-12-01T01:00:00,40243615,41.39,44.69,2.36,0.94
2024-12-01T01:00:00,57967471,41.39,36.38,-5.37,0.36
2024-12-01T01:00:00,93353977,41.39,39.39,-3.29,1.29
2024-12-01T01:00:00,98370003,41.39,42.9,1.51,0.0
2024-12-01T01:00:00,106856905,41.39,36.74,-5.34,0.69
2024-12-01T01:00:00,1123180719,41.39,40.64,0.21,-0.96
2024-12-01T01:00:00,1305131573,41.39,41.21,0.07,-0.25
2024-12-01T01:00:00,1338424127,41.39,40.27,-0.4,-0.72
2024-12-01T01:00:00,1356152712,41.39,38.39,-2.15,-0.85
2024-12-01T01:00:00,1356155763,41.39,41.4,-0.08,0.09
2024-12-01T01:00:00,1439644392,41.39,40.29,0.19,-1.29
2024-12-01T01:00:00,1666104437,41.39,35.0,-6.61,0.22
2024-12-01T01:00:00,1666104441,41.39,43.79,1.67,0.73
2024-12-01T01:00:00,2155501828,41.39,34.24,-5.89,-1.26
2024-12-01T01:00:00,2156108964,41.39,40.72,-0.06,-0.61
2024-12-01T01:00:00,2156109026,41.39,41.46,-0.18,0.25
2024-12-01T01:00:00,2156109031,41.39,40.38,-0.45,-0.56
2024-12-01T01:00:00,2156109888,41.39,37.11,-5.27,0.99
2024-12-01T01:00:00,2156111802,41.39,41.04,0.47,-0.82
2024-12-01T01:00:00,2156111867,41.39,43.78,1.82,0.57
2024-12-01T01:00:00,2156113094,41.39,35.08,-8.37,2.06
2024-12-01T01:00:00,2156113295,41.39,43.11,0.94,0.78
2024-12-01T01:00:00,2156113436,41.39,36.67,-4.6,-0.12
2024-12-01T01:00:00,2156113572,41.39,38.14,-4.75,1.5
2024-12-01T02:00:00,48806,42.23,39.17,-3.75,0.69
2024-12-01T02:00:00,49052,42.23,38.17,-4.14,0.08
2024-12-01T02:00:00,49955,42.23,51.26,4.71,4.32
2024-12-01T02:00:00,50828,42.23,44.91,0.8,1.88
2024-12-01T02:00:00,659723,42.23,38.8,-4.24,0.81
2024-12-01T02:00:00,659724,42.23,38.76,-4.24,0.77
2024-12-01T02:00:00,1048048,42.23,35.98,-4.89,-1.36
2024-12-01T02:00:00,1048076,42.23,42.81,-2.47,3.05
2024-12-01T02:00:00,32411433,42.23,44.67,0.32,2.12
2024-12-01T02:00:00,32411997,42.23,41.22,0.17,-1.18
2024-12-01T02:00:00,32412355,42.23,40.35,-0.4,-1.48
2024-12-01T02:00:00,34886621,42.23,44.24,1.22,0.79
2024-12-01T02:00:00,38367927,42.23,45.34,1.56,1.55
2024-12-01T02:00:00,38367929,42.23,45.34,1.56,1.55
2024-12-01T02:00:00,40243615,42.23,46.07,2.88,0.96
2024-12-01T02:00:00,57967471,42.23,38.29,-4.15,0.21
2024-12-01T02:00:00,93353977,42.23,41.08,-2.28,1.13
2024-12-01T02:00:00,98370003,42.23,44.12,1.87,0.02
2024-12-01T02:00:00,106856905,42.23,38.65,-4.13,0.55
2024-12-01T02:00:00,1123180719,42.23,41.54,0.19,-0.88
2024-12-01T02:00:00,1305131573,42.23,42.09,0.09,-0.23
2024-12-01T02:00:00,1338424127,42.23,41.07,-0.26,-0.9
2024-12-01T02:00:00,1356152712,42.23,38.73,-2.73,-0.77
2024-12-01T02:00:00,1356155763,42.23,42.49,0.17,0.09
2024-12-01T02:00:00,1439644392,42.23,41.17,0.17,-1.23
2024-12-01T02:00:00,1666104437,42.23,33.99,-8.24,0.0
2024-12-01T02:00:00,1666104441,42.23,44.99,2.04,0.72
2024-12-01T02:00:00,2155501828,42.23,35.81,-5.01,-1.41
2024-12-01T02:00:00,2156108964,42.23,41.65,-0.01,-0.57
2024-12-01T02:00:00,2156109026,42.23,42.27,-0.09,0.13
2024-12-01T02:00:00,2156109031,42.23,41.27,-0.29,-0.67
2024-12-01T02:00:00,2156109888,42.23,39.0,-4.07,0.84
2024-12-01T02:00:00,2156111802,42.23,42.06,0.61,-0.78
2024-12-01T02:00:00,2156111867,42.23,44.19,1.33,0.63
2024-12-01T02:00:00,2156113094,42.23,38.81,-5.53,2.11
2024-12-01T02:00:00,2156113295,42.23,44.14,1.18,0.73
2024-12-01T02:00:00,2156113436,42.23,38.26,-3.7,-0.27
2024-12-01T02:00:00,2156113572,42.23,39.88,-3.66,1.31
2024-12-01T03:00:00,48806,40.43,38.98,-2.1,0.65
2024-12-01T03:00:00,49052,40.43,38.28,-2.25,0.1
2024-12-01T03:00:00,49955,40.43,44.27,-0.06,3.9
2024-12-01T03:00:00,50828,40.43,42.26,0.01,1.82
2024-12-01T03:00:00,659723,40.43,38.92,-2.28,0.77
2024-12-01T03:00:00,659724,40.43,38.89,-2.28,0.74
2024-12-01T03:00:00,1048048,40.43,35.43,-3.73,-1.27
2024-12-01T03:00:00,1048076,40.43,41.35,-1.89,2.81
2024-12-01T03:00:00,32411433,40.43,42.57,0.01,2.13
2024-12-01T03:00:00,32411997,40.43,39.28,-0.08,-1.07
2024-12-01T03:00:00,32412355,40.43,38.61,-0.38,-1.44
2024-12-01T03:00:00,34886621,40.43,41.91,0.69,0.79
2024-12-01T03:00:00,38367927,40.43,42.86,0.93,1.5
2024-12-01T03:00:00,38367929,40.43,42.86,0.93,1.5
2024-12-01T03:00:00,40243615,40.43,43.12,1.97,0.72
2024-12-01T03:00:00,57967471,40.43,38.39,-2.25,0.21
2024-12-01T03:00:00,93353977,40.43,40.61,-0.9,1.08
2024-12-01T03:00:00,98370003,40.43,41.68,1.27,-0.02
2024-12-01T03:00:00,106856905,40.43,38.71,-2.24,0.52
2024-12-01T03:00:00,1123180719,40.43,39.47,-0.07,-0.89
2024-12-01T03:00:00,1305131573,40.43,39.93,-0.13,-0.37
2024-12-01T03:00:00,1338424127,40.43,39.21,-0.34,-0.88
2024-12-01T03:00:00,1356152712,40.43,37.69,-2.01,-0.73
2024-12-01T03:00:00,1356155763,40.43,40.47,-0.01,0.05
2024-12-01T03:00:00,1439644392,40.43,39.25,-0.08,-1.1
2024-12-01T03:00:00,1666104437,40.43,34.56,-5.92,0.05
2024-12-01T03:00:00,1666104441,40.43,42.51,1.4,0.68
2024-12-01T03:00:00,2155501828,40.43,35.27,-3.83,-1.33
2024-12-01T03:00:00,2156108964,40.43,39.7,-0.19,-0.54
2024-12-01T03:00:00,2156109026,40.43,40.28,-0.24,0.09
2024-12-01T03:00:00,2156109031,40.43,39.38,-0.35,-0.7
2024-12-01T03:00:00,2156109888,40.43,39.0,-2.21,0.78
2024-12-01T03:00:00,2156111802,40.43,39.92,0.25,-0.76
2024-12-01T03:00:00,2156111867,40.43,41.86,0.77,0.66
2024-12-01T03:00:00,2156113094,40.43,37.67,-4.81,2.05
2024-12-01T03:00:00,2156113295,40.43,41.82,0.77,0.62
2024-12-01T03:00:00,2156113436,40.43,37.59,-2.59,-0.25
2024-12-01T03:00:00,2156113572,40.43,39.58,-2.06,1.21
2024-12-01T04:00:00,48806,37.74,36.81,-1.29,0.36
2024-12-01T04:00:00,49052,37.74,36.28,-1.3,-0.16
2024-12-01T04:00:00,49955,37.74,41.22,0.72,2.76
2024-12-01T04:00:00,50828,37.74,39.39,-0.1,1.75
2024-12-01T04:00:00,659723,37.74,36.88,-1.29,0.43
2024-12-01T04:00:00,659724,37.74,36.85,-1.29,0.4
2024-12-01T04:00:00,1048048,37.74,33.52,-2.88,-1.34
2024-12-01T04:00:00,1048076,37.74,38.68,-0.88,1.82
2024-12-01T04:00:00,32411433,37.74,39.86,-0.07,2.19
2024-12-01T04:00:00,32411997,37.74,36.71,-0.14,-0.89
2024-12-01T04:00:00,32412355,37.74,35.99,-0.43,-1.32
2024-12-01T04:00:00,34886621,37.74,39.07,0.46,0.87
2024-12-01T04:00:00,38367927,37.74,39.87,0.64,1.49
2024-12-01T04:00:00,38367929,37.74,39.87,0.64,1.49
2024-12-01T04:00:00,40243615,37.74,40.12,1.71,0.67
2024-12-01T04:00:00,57967471,37.74,36.38,-1.29,-0.07
2024-12-01T04:00:00,93353977,37.74,38.22,-0.43,0.91
2024-12-01T04:00:00,98370003,37.74,38.79,1.07,-0.02
2024-12-01T04:00:00,106856905,37.74,36.64,-1.29,0.19
2024-12-01T04:00:00,1123180719,37.74,36.86,-0.13,-0.75
2024-12-01T04:00:00,1305131573,37.74,37.23,-0.17,-0.34
2024-12-01T04:00:00,1338424127,37.74,36.52,-0.35,-0.87
2024-12-01T04:00:00,1356152712,37.74,35.09,-1.93,-0.72
2024-12-01T04:00:00,1356155763,37.74,37.72,-0.03,0.01
2024-12-01T04:00:00,1439644392,37.74,36.7,-0.14,-0.9
2024-12-01T04:00:00,1666104437,37.74,32.92,-5.48,0.66
2024-12-01T04:00:00,1666104441,37.74,39.66,1.19,0.73
2024-12-01T04:00:00,2155501828,37.74,33.38,-2.95,-1.41
2024-12-01T04:00:00,2156108964,37.74,37.09,-0.23,-0.42
2024-12-01T04:00:00,2156109026,37.74,37.55,-0.29,0.1
2024-12-01T04:00:00,2156109031,37.74,36.56,-0.36,-0.82
2024-12-01T04:00:00,2156109888,37.74,36.85,-1.29,0.4
2024-12-01T04:00:00,2156111802,37.74,37.25,0.17,-0.66
2024-12-01T04:00:00,2156111867,37.74,39.01,0.52,0.75
2024-12-01T04:00:00,2156113094,37.74,35.75,-3.92,1.93
2024-12-01T04:00:00,2156113295,37.74,38.83,0.62,0.47
2024-12-01T04:00:00,2156113436,37.74,35.15,-2.1,-0.49
2024-12-01T04:00:00,2156113572,37.74,37.31,-1.29,0.86
2024-12-01T05:00:00,48806,37.34,35.8,-1.74,0.2
2024-12-01T05:00:00,49052,37.34,35.03,-2.04,-0.27
2024-12-01T05:00:00,49955,37.34,40.35,0.17,2.84
2024-12-01T05:00:00,50828,37.34,38.53,-0.38,1.57
2024-12-01T05:00:00,659723,37.34,35.52,-2.13,0.31
2024-12-01T05:00:00,659724,37.34,35.49,-2.13,0.28
2024-12-01T05:00:00,1048048,37.34,31.84,-4.07,-1.43
2024-12-01T05:00:00,1048076,37.34,38.34,-0.94,1.94
2024-12-01T05:00:00,32411433,37.34,39.57,-0.18,2.41
2024-12-01T05:00:00,32411997,37.34,36.34,-0.3,-0.7
2024-12-01T05:00:00,32412355,37.34,36.36,0.1,-1.08
2024-12-01T05:00:00,34886621,37.34,38.92,0.72,0.86
2024-12-01T05:00:00,38367927,37.34,39.45,1.08,1.03
