datetime_beginning_utc,pnode_id,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da
2024-06-01T00:00:00,48806,28.6,24.47,-4.03,-0.1
2024-06-01T00:00:00,49052,28.6,24.19,-4.02,-0.39
2024-06-01T00:00:00,49955,28.6,25.92,-3.67,0.99
2024-06-01T00:00:00,50828,28.6,34.48,5.02,0.86
2024-06-01T00:00:00,659723,28.6,24.73,-3.78,-0.09
2024-06-01T00:00:00,659724,28.6,24.72,-3.78,-0.1
2024-06-01T00:00:00,1048048,28.6,23.03,-4.35,-1.22
2024-06-01T00:00:00,1048076,28.6,25.54,-3.61,0.55
2024-06-01T00:00:00,32411433,28.6,31.17,1.88,0.69
2024-06-01T00:00:00,32411997,28.6,29.73,1.74,-0.61
2024-06-01T00:00:00,32412355,28.6,29.79,1.5,-0.31
2024-06-01T00:00:00,34886621,28.6,32.54,3.12,0.82
2024-06-01T00:00:00,38367927,28.6,32.65,3.34,0.71
2024-06-01T00:00:00,38367929,28.6,32.65,3.34,0.71
2024-06-01T00:00:00,40243615,28.6,31.29,1.57,1.12
2024-06-01T00:00:00,57967471,28.6,24.41,-3.88,-0.31
2024-06-01T00:00:00,93353977,28.6,24.69,-4.02,0.11
2024-06-01T00:00:00,98370003,28.6,30.03,1.4,0.03
2024-06-01T00:00:00,106856905,28.6,24.5,-3.84,-0.26
2024-06-01T00:00:00,1123180719,28.6,29.19,1.52,-0.93
2024-06-01T00:00:00,1305131573,28.6,30.22,1.54,0.08
2024-06-01T00:00:00,1338424127,28.6,18.25,-9.32,-1.03
2024-06-01T00:00:00,1356152712,28.6,30.72,1.71,0.41
2024-06-01T00:00:00,1356155763,28.6,28.96,0.7,-0.34
2024-06-01T00:00:00,1439644392,28.6,29.6,1.75,-0.75
2024-06-01T00:00:00,1666104437,28.6,31.29,1.75,0.94
2024-06-01T00:00:00,1666104441,28.6,31.11,1.54,0.97
2024-06-01T00:00:00,2155501828,28.6,22.85,-4.39,-1.36
2024-06-01T00:00:00,2156108964,28.6,29.74,1.48,-0.34
2024-06-01T00:00:00,2156109026,28.6,31.75,3.09,0.06
2024-06-01T00:00:00,2156109031,28.6,23.08,-4.97,-0.55
2024-06-01T00:00:00,2156109888,28.6,24.69,-3.87,-0.04
2024-06-01T00:00:00,2156111802,28.6,29.89,1.57,-0.28
2024-06-01T00:00:00,2156111867,28.6,32.45,3.26,0.59
2024-06-01T00:00:00,2156113094,28.6,33.66,3.98,1.08
2024-06-01T00:00:00,2156113295,28.6,30.66,1.42,0.64
2024-06-01T00:00:00,2156113436,28.6,21.5,-6.71,-0.39
2024-06-01T00:00:00,2156113572,28.6,24.85,-4.07,0.32
2024-06-01T01:00:00,48806,25.75,22.84,-2.69,-0.22
2024-06-01T01:00:00,49052,25.75,22.6,-2.69,-0.46
2024-06-01T01:00:00,49955,25.75,24.04,-2.44,0.73
2024-06-01T01:00:00,50828,25.75,30.23,3.81,0.67
2024-06-01T01:00:00,659723,25.75,23.03,-2.51,-0.21
2024-06-01T01:00:00,659724,25.75,23.02,-2.51,-0.22
2024-06-01T01:00:00,1048048,25.75,21.58,-2.98,-1.19
2024-06-01T01:00:00,1048076,25.75,23.86,-2.39,0.5
2024-06-01T01:00:00,32411433,25.75,28.02,1.52,0.75
2024-06-01T01:00:00,32411997,25.75,26.84,1.48,-0.39
2024-06-01T01:00:00,32412355,25.75,26.91,1.29,-0.13
2024-06-01T01:00:00,34886621,25.75,28.8,2.41,0.64
2024-06-01T01:00:00,38367927,25.75,28.95,2.6,0.6
2024-06-01T01:00:00,38367929,25.75,28.95,2.6,0.6
2024-06-01T01:00:00,40243615,25.75,28.25,1.38,1.12
2024-06-01T01:00:00,57967471,25.75,22.76,-2.58,-0.41
2024-06-01T01:00:00,93353977,25.75,23.04,-2.68,-0.03
2024-06-01T01:00:00,98370003,25.75,27.19,1.27,0.17
2024-06-01T01:00:00,106856905,25.75,22.84,-2.55,-0.36
2024-06-01T01:00:00,1123180719,25.75,26.21,1.22,-0.76
2024-06-01T01:00:00,1305131573,25.75,27.28,1.32,0.21
2024-06-01T01:00:00,1338424127,25.75,19.97,-4.85,-0.93
2024-06-01T01:00:00,1356152712,25.75,27.8,1.55,0.5
2024-06-01T01:00:00,1356155763,25.75,26.26,0.78,-0.27
2024-06-01T01:00:00,1439644392,25.75,26.75,1.48,-0.48
2024-06-01T01:00:00,1666104437,25.75,28.31,1.64,0.92
2024-06-01T01:00:00,1666104441,25.75,27.79,1.41,0.63
2024-06-01T01:00:00,2155501828,25.75,21.42,-3.01,-1.32
2024-06-01T01:00:00,2156108964,25.75,26.89,1.32,-0.18
2024-06-01T01:00:00,2156109026,25.75,28.08,2.19,0.14
2024-06-01T01:00:00,2156109031,25.75,22.74,-2.49,-0.52
2024-06-01T01:00:00,2156109888,25.75,22.99,-2.58,-0.18
2024-06-01T01:00:00,2156111802,25.75,27.01,1.39,-0.13
2024-06-01T01:00:00,2156111867,25.75,28.75,2.52,0.48
2024-06-01T01:00:00,2156113094,25.75,29.71,3.06,0.9
2024-06-01T01:00:00,2156113295,25.75,27.71,1.28,0.68
2024-06-01T01:00:00,2156113436,25.75,20.68,-4.62,-0.45
2024-06-01T01:00:00,2156113572,25.75,23.18,-2.72,0.15
2024-06-01T02:00:00,48806,22.07,21.43,-0.62,-0.02
2024-06-01T02:00:00,49052,22.07,21.22,-0.61,-0.24
2024-06-01T02:00:00,49955,22.07,22.34,-0.51,0.78
2024-06-01T02:00:00,50828,22.07,24.76,2.06,0.63
2024-06-01T02:00:00,659723,22.07,21.52,-0.54,-0.01
2024-06-01T02:00:00,659724,22.07,21.51,-0.54,-0.02
2024-06-01T02:00:00,1048048,22.07,20.26,-0.91,-0.9
2024-06-01T02:00:00,1048076,22.07,22.0,-0.49,0.42
2024-06-01T02:00:00,32411433,22.07,23.75,1.04,0.64
2024-06-01T02:00:00,32411997,22.07,22.94,1.22,-0.35
2024-06-01T02:00:00,32412355,22.07,22.93,1.11,-0.25
2024-06-01T02:00:00,34886621,22.07,24.03,1.42,0.54
2024-06-01T02:00:00,38367927,22.07,24.29,1.56,0.66
2024-06-01T02:00:00,38367929,22.07,24.29,1.56,0.66
2024-06-01T02:00:00,40243615,22.07,24.07,1.26,0.74
2024-06-01T02:00:00,57967471,22.07,21.31,-0.57,-0.19
2024-06-01T02:00:00,93353977,22.07,21.6,-0.61,0.14
2024-06-01T02:00:00,98370003,22.07,23.32,1.22,0.03
2024-06-01T02:00:00,106856905,22.07,21.4,-0.56,-0.11
2024-06-01T02:00:00,1123180719,22.07,22.6,0.87,-0.34
2024-06-01T02:00:00,1305131573,22.07,23.25,1.12,0.06
2024-06-01T02:00:00,1338424127,22.07,16.93,-4.21,-0.93
2024-06-01T02:00:00,1356152712,22.07,23.82,1.49,0.26
2024-06-01T02:00:00,1356155763,22.07,22.79,1.04,-0.32
2024-06-01T02:00:00,1439644392,22.07,22.89,1.22,-0.4
2024-06-01T02:00:00,1666104437,22.07,24.38,1.68,0.63
2024-06-01T02:00:00,1666104441,22.07,23.88,1.39,0.42
2024-06-01T02:00:00,2155501828,22.07,20.12,-0.94,-1.01
2024-06-01T02:00:00,2156108964,22.07,23.1,1.21,-0.18
2024-06-01T02:00:00,2156109026,22.07,24.21,2.09,0.05
2024-06-01T02:00:00,2156109031,22.07,19.42,-2.11,-0.54
2024-06-01T02:00:00,2156109888,22.07,21.49,-0.57,-0.01
2024-06-01T02:00:00,2156111802,22.07,23.15,1.25,-0.17
2024-06-01T02:00:00,2156111867,22.07,24.05,1.47,0.51
2024-06-01T02:00:00,2156113094,22.07,24.66,1.75,0.84
2024-06-01T02:00:00,2156113295,22.07,23.7,1.22,0.41
2024-06-01T02:00:00,2156113436,22.07,20.42,-1.41,-0.24
2024-06-01T02:00:00,2156113572,22.07,21.71,-0.63,0.27
2024-06-01T03:00:00,48806,16.81,16.77,-0.14,0.1
2024-06-01T03:00:00,49052,16.81,16.58,-0.14,-0.09
2024-06-01T03:00:00,49955,16.81,17.26,-0.07,0.52
2024-06-01T03:00:00,50828,16.81,19.02,1.73,0.48
2024-06-01T03:00:00,659723,16.81,16.78,-0.09,0.06
2024-06-01T03:00:00,659724,16.81,16.78,-0.09,0.06
2024-06-01T03:00:00,1048048,16.81,15.95,-0.3,-0.56
2024-06-01T03:00:00,1048076,16.81,17.04,-0.05,0.28
2024-06-01T03:00:00,32411433,16.81,18.23,1.01,0.41
2024-06-01T03:00:00,32411997,16.81,17.55,1.03,-0.29
2024-06-01T03:00:00,32412355,16.81,17.49,0.92,-0.24
2024-06-01T03:00:00,34886621,16.81,18.42,1.27,0.34
2024-06-01T03:00:00,38367927,16.81,18.67,1.39,0.47
2024-06-01T03:00:00,38367929,16.81,18.67,1.39,0.47
2024-06-01T03:00:00,40243615,16.81,18.35,1.07,0.47
2024-06-01T03:00:00,57967471,16.81,16.64,-0.11,-0.06
2024-06-01T03:00:00,93353977,16.81,17.02,-0.11,0.32
2024-06-01T03:00:00,98370003,16.81,17.82,1.04,-0.03
2024-06-01T03:00:00,106856905,16.81,16.69,-0.1,-0.02
2024-06-01T03:00:00,1123180719,16.81,17.18,0.68,-0.31
2024-06-01T03:00:00,1305131573,16.81,17.75,0.93,0.01
2024-06-01T03:00:00,1338424127,16.81,14.77,-1.47,-0.57
2024-06-01T03:00:00,1356152712,16.81,18.2,1.28,0.11
2024-06-01T03:00:00,1356155763,16.81,17.53,0.91,-0.19
2024-06-01T03:00:00,1439644392,16.81,17.52,1.03,-0.32
2024-06-01T03:00:00,1666104437,16.81,18.58,1.47,0.3
2024-06-01T03:00:00,1666104441,16.81,18.41,1.19,0.41
2024-06-01T03:00:00,2155501828,16.81,15.85,-0.31,-0.65
2024-06-01T03:00:00,2156108964,16.81,17.68,1.05,-0.18
2024-06-01T03:00:00,2156109026,16.81,18.26,1.44,0.01
2024-06-01T03:00:00,2156109031,16.81,16.02,-0.45,-0.34
2024-06-01T03:00:00,2156109888,16.81,16.74,-0.11,0.04
2024-06-01T03:00:00,2156111802,16.81,17.71,1.07,-0.17
2024-06-01T03:00:00,2156111867,16.81,18.47,1.31,0.35
2024-06-01T03:00:00,2156113094,16.81,18.93,1.52,0.6
2024-06-01T03:00:00,2156113295,16.81,18.07,1.04,0.22
2024-06-01T03:00:00,2156113436,16.81,16.06,-0.7,-0.05
2024-06-01T03:00:00,2156113572,16.81,17.0,-0.15,0.34
2024-06-01T04:00:00,48806,12.52,12.72,0.2,0.0
2024-06-01T04:00:00,49052,12.52,12.55,0.18,-0.15
2024-06-01T04:00:00,49955,12.52,12.99,0.19,0.28
2024-06-01T04:00:00,50828,12.52,13.54,0.6,0.42
2024-06-01T04:00:00,659723,12.52,12.67,0.19,-0.04
2024-06-01T04:00:00,659724,12.52,12.66,0.19,-0.05
2024-06-01T04:00:00,1048048,12.52,12.14,0.09,-0.47
2024-06-01T04:00:00,1048076,12.52,12.83,0.19,0.12
2024-06-01T04:00:00,32411433,12.52,13.31,0.44,0.35
2024-06-01T04:00:00,32411997,12.52,12.74,0.45,-0.23
2024-06-01T04:00:00,32412355,12.52,12.69,0.41,-0.24
2024-06-01T04:00:00,34886621,12.52,13.39,0.49,0.38
2024-06-01T04:00:00,38367927,12.52,13.53,0.54,0.47
2024-06-01T04:00:00,38367929,12.52,13.53,0.54,0.47
2024-06-01T04:00:00,40243615,12.52,13.3,0.49,0.29
2024-06-01T04:00:00,57967471,12.52,12.58,0.18,-0.12
2024-06-01T04:00:00,93353977,12.52,12.96,0.24,0.2
2024-06-01T04:00:00,98370003,12.52,12.96,0.48,-0.04
2024-06-01T04:00:00,106856905,12.52,12.63,0.21,-0.1
2024-06-01T04:00:00,1123180719,12.52,12.58,0.27,-0.21
2024-06-01T04:00:00,1305131573,12.52,12.93,0.41,0.0
2024-06-01T04:00:00,1338424127,12.52,12.6,0.39,-0.31
2024-06-01T04:00:00,1356152712,12.52,13.11,0.6,-0.01
2024-06-01T04:00:00,1356155763,12.52,12.99,0.53,-0.06
2024-06-01T04:00:00,1439644392,12.52,12.74,0.45,-0.23
2024-06-01T04:00:00,1666104437,12.52,13.35,0.7,0.13
2024-06-01T04:00:00,1666104441,12.52,13.34,0.56,0.26
2024-06-01T04:00:00,2155501828,12.52,12.04,0.08,-0.56
2024-06-01T04:00:00,2156108964,12.52,12.88,0.48,-0.12
2024-06-01T04:00:00,2156109026,12.52,13.02,0.47,0.03
2024-06-01T04:00:00,2156109031,12.52,12.73,0.38,-0.17
2024-06-01T04:00:00,2156109888,12.52,12.64,0.18,-0.06
2024-06-01T04:00:00,2156111802,12.52,12.87,0.48,-0.13
2024-06-01T04:00:00,2156111867,12.52,13.41,0.5,0.39
2024-06-01T04:00:00,2156113094,12.52,13.57,0.56,0.49
2024-06-01T04:00:00,2156113295,12.52,13.15,0.48,0.15
2024-06-01T04:00:00,2156113436,12.52,12.45,0.03,-0.1
2024-06-01T04:00:00,2156113572,12.52,12.89,0.2,0.17
2024-06-01T05:00:00,48806,12.72,12.61,0.01,-0.12
2024-06-01T05:00:00,49052,12.72,12.29,-0.17,-0.26
2024-06-01T05:00:00,49955,12.72,12.73,-0.13,0.14
2024-06-01T05:00:00,50828,12.72,13.88,0.78,0.38
2024-06-01T05:00:00,659723,12.72,12.42,-0.15,-0.15
2024-06-01T05:00:00,659724,12.72,12.41,-0.15,-0.16
2024-06-01T05:00:00,1048048,12.72,11.89,-0.25,-0.58
2024-06-01T05:00:00,1048076,12.72,12.58,-0.13,-0.01
2024-06-01T05:00:00,32411433,12.72,13.59,0.5,0.37
2024-06-01T05:00:00,32411997,12.72,13.02,0.49,-0.19
2024-06-01T05:00:00,32412355,12.72,13.02,0.45,-0.15
2024-06-01T05:00:00,34886621,12.72,13.7,0.59,0.39
2024-06-01T05:00:00,38367927,12.72,13.89,0.64,0.53
2024-06-01T05:00:00,38367929,12.72,13.89,0.64,0.53
2024-06-01T05:00:00,40243615,12.72,13.64,0.52,0.4
2024-06-01T05:00:00,57967471,12.72,12.33,-0.16,-0.23
2024-06-01T05:00:00,93353977,12.72,12.97,0.17,0.08
2024-06-01T05:00:00,98370003,12.72,13.25,0.51,0.02
2024-06-01T05:00:00,106856905,12.72,12.51,0.0,-0.21
2024-06-01T05:00:00,1123180719,12.72,12.92,0.34,-0.14
2024-06-01T05:00:00,1305131573,12.72,13.25,0.45,0.08
2024-06-01T05:00:00,1338424127,12.72,12.37,0.03,-0.38
2024-06-01T05:00:00,1356152712,12.72,13.4,0.61,0.07
2024-06-01T05:00:00,1356155763,12.72,13.63,1.01,-0.1
2024-06-01T05:00:00,1439644392,12.72,13.02,0.49,-0.19
2024-06-01T05:00:00,1666104437,12.72,13.65,0.7,0.23
2024-06-01T05:00:00,1666104441,12.72,13.64,0.58,0.34
2024-06-01T05:00:00,2155501828,12.72,11.81,-0.26,-0.65
2024-06-01T05:00:00,2156108964,12.72,13.12,0.5,-0.1
2024-06-01T05:00:00,2156109026,12.72,13.21,0.48,0.01
2024-06-01T05:00:00,2156109031,12.72,12.43,-0.04,-0.25
2024-06-01T05:00:00,2156109888,12.72,12.38,-0.16,-0.18
2024-06-01T05:00:00,2156111802,12.72,13.13,0.51,-0.1
2024-06-01T05:00:00,2156111867,12.72,13.72,0.61,0.39
2024-06-01T05:00:00,2156113094,12.72,13.86,0.69,0.45
2024-06-01T05:00:00,2156113295,12.72,13.43,0.51,0.2
2024-06-01T05:00:00,2156113436,12.72,12.14,-0.33,-0.25
2024-06-01T05:00:00,2156113572,12.72,12.77,0.01,0.04
2024-06-01T06:00:00,48806,11.14,11.08,0.1,-0.16
2024-06-01T06:00:00,49052,11.14,10.96,0.1,-0.28
2024-06-01T06:00:00,49955,11.14,11.29,0.11,0.04
2024-06-01T06:00:00,50828,11.14,11.73,0.37,0.22
2024-06-01T06:00:00,659723,11.14,11.05,0.1,-0.19
2024-06-01T06:00:00,659724,11.14,11.05,0.1,-0.19
2024-06-01T06:00:00,1048048,11.14,10.6,-0.02,-0.52
2024-06-01T06:00:00,1048076,11.14,11.16,0.11,-0.09
2024-06-01T06:00:00,32411433,11.14,11.72,0.24,0.34
2024-06-01T06:00:00,32411997,11.14,11.36,0.35,-0.13
2024-06-01T06:00:00,32412355,11.14,11.4,0.33,-0.07
2024-06-01T06:00:00,34886621,11.14,11.69,0.28,0.27
2024-06-01T06:00:00,38367927,11.14,11.86,0.32,0.4
2024-06-01T06:00:00,38367929,11.14,11.86,0.32,0.4
2024-06-01T06:00:00,40243615,11.14,11.89,0.38,0.37
2024-06-01T06:00:00,57967471,11.14,10.98,0.1,-0.26
2024-06-01T06:00:00,93353977,11.14,11.26,0.1,0.02
2024-06-01T06:00:00,98370003,11.14,11.58,0.38,0.06
2024-06-01T06:00:00,106856905,11.14,11.0,0.1,-0.24
2024-06-01T06:00:00,1123180719,11.14,11.28,0.22,-0.08
2024-06-01T06:00:00,1305131573,11.14,11.63,0.33,0.16
2024-06-01T06:00:00,1338424127,11.14,11.27,0.34,-0.21
2024-06-01T06:00:00,1356152712,11.14,11.7,0.46,0.1
2024-06-01T06:00:00,1356155763,11.14,11.46,0.37,-0.05
2024-06-01T06:00:00,1439644392,11.14,11.35,0.35,-0.14
2024-06-01T06:00:00,1666104437,11.14,11.91,0.54,0.23
2024-06-01T06:00:00,1666104441,11.14,11.83,0.44,0.25
2024-06-01T06:00:00,2155501828,11.14,10.53,-0.02,-0.59
2024-06-01T06:00:00,2156108964,11.14,11.46,0.37,-0.05
2024-06-01T06:00:00,2156109026,11.14,11.56,0.37,0.05
2024-06-01T06:00:00,2156109031,11.14,11.24,0.24,-0.14
2024-06-01T06:00:00,2156109888,11.14,11.02,0.1,-0.22
2024-06-01T06:00:00,2156111802,11.14,11.47,0.38,-0.05
2024-06-01T06:00:00,2156111867,11.14,11.71,0.29,0.28
2024-06-01T06:00:00,2156113094,11.14,11.81,0.34,0.33
2024-06-01T06:00:00,2156113295,11.14,11.72,0.38,0.2
2024-06-01T06:00:00,2156113436,11.14,10.93,0.01,-0.22
2024-06-01T06:00:00,2156113572,11.14,11.22,0.1,-0.02
2024-06-01T07:00:00,48806,11.97,11.77,-0.04,-0.16
2024-06-01T07:00:00,49052,11.97,11.64,-0.04,-0.29
